2018-01-13 21:22:52,885 INFO 4868 [egg:logger] init all loggers with options: {"dir":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\logs\\boncake-pro","encoding":"utf8","env":"local","level":"INFO","consoleLevel":"INFO","disableConsoleAfterReady":false,"outputJSON":false,"buffer":true,"appLogName":"boncake-pro-web.log","coreLogName":"egg-web.log","agentLogName":"egg-agent.log","errorLogName":"common-error.log","coreLogger":{"consoleLevel":"WARN"},"allowDebugAtProd":true,"type":"agent"}
2018-01-13 21:23:19,115 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":48413695994234290,"size":1869,"atimeMs":1515849799102.2046,"mtimeMs":1515849799106.206,"ctimeMs":1515849799111.21,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:19.102Z","mtime":"2018-01-13T13:23:19.106Z","ctime":"2018-01-13T13:23:19.111Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:19,115 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849799113.21,"mtimeMs":1515849799113.21,"ctimeMs":1515849799113.21,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:19.113Z","mtime":"2018-01-13T13:23:19.113Z","ctime":"2018-01-13T13:23:19.113Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:23:19,116 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_old___","remove":true,"isDirectory":false,"isFile":false}
2018-01-13 21:23:19,116 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849799113.21,"mtimeMs":1515849799113.21,"ctimeMs":1515849799113.21,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:19.113Z","mtime":"2018-01-13T13:23:19.113Z","ctime":"2018-01-13T13:23:19.113Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:23:43,844 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":8725724278033132,"size":1894,"atimeMs":1515849823827.5623,"mtimeMs":1515849823833.5664,"ctimeMs":1515849823833.5664,"birthtimeMs":1515849823827.5623,"atime":"2018-01-13T13:23:43.828Z","mtime":"2018-01-13T13:23:43.834Z","ctime":"2018-01-13T13:23:43.834Z","birthtime":"2018-01-13T13:23:43.828Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:43,845 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":8725724278033132,"size":1894,"atimeMs":1515849823827.5623,"mtimeMs":1515849823833.5664,"ctimeMs":1515849823833.5664,"birthtimeMs":1515849823827.5623,"atime":"2018-01-13T13:23:43.828Z","mtime":"2018-01-13T13:23:43.834Z","ctime":"2018-01-13T13:23:43.834Z","birthtime":"2018-01-13T13:23:43.828Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:43,847 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":8725724278033132,"size":1894,"atimeMs":1515849823827.5623,"mtimeMs":1515849823833.5664,"ctimeMs":1515849823833.5664,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.828Z","mtime":"2018-01-13T13:23:43.834Z","ctime":"2018-01-13T13:23:43.834Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:43,853 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849823842.5696,"mtimeMs":1515849823842.5696,"ctimeMs":1515849823842.5696,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.843Z","mtime":"2018-01-13T13:23:43.843Z","ctime":"2018-01-13T13:23:43.843Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:23:43,854 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":8725724278033132,"size":1894,"atimeMs":1515849823827.5623,"mtimeMs":1515849823833.5664,"ctimeMs":1515849823845.5708,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.828Z","mtime":"2018-01-13T13:23:43.834Z","ctime":"2018-01-13T13:23:43.846Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:43,855 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_old___","remove":true,"isDirectory":false,"isFile":false}
2018-01-13 21:23:43,860 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849823848.5728,"mtimeMs":1515849823848.5728,"ctimeMs":1515849823848.5728,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.849Z","mtime":"2018-01-13T13:23:43.849Z","ctime":"2018-01-13T13:23:43.849Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:23:43,862 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","remove":true,"isDirectory":false,"isFile":false}
2018-01-13 21:23:43,864 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":8725724278033132,"size":1894,"atimeMs":1515849823827.5623,"mtimeMs":1515849823833.5664,"ctimeMs":1515849823845.5708,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.828Z","mtime":"2018-01-13T13:23:43.834Z","ctime":"2018-01-13T13:23:43.846Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:43,865 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":8725724278033132,"size":1894,"atimeMs":1515849823827.5623,"mtimeMs":1515849823833.5664,"ctimeMs":1515849823845.5708,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.828Z","mtime":"2018-01-13T13:23:43.834Z","ctime":"2018-01-13T13:23:43.846Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:43,865 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849823848.5728,"mtimeMs":1515849823848.5728,"ctimeMs":1515849823848.5728,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.849Z","mtime":"2018-01-13T13:23:43.849Z","ctime":"2018-01-13T13:23:43.849Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
